id,month,abg_sku,rip_code,upc,brand,valid_from,valid_to,description,tier1_unit,tier1_qty,tier1_rebate,tier2_unit,tier2_qty,tier2_rebate,comments
62526,2026-04,2361031,108701,80686315018,461080,2026-04-01,2026-04-30,DEKUYPER CORDIALS   EXCLUDES TRIPLE SEC 30PF & ALL 50ML,Case(s),3.0,10.0,Case(s),5.0,40.0,ALL SIZES
62527,2026-04,3166230,108701,80686394204,631790,2026-04-01,2026-04-30,DEKUYPER CORDIALS   EXCLUDES TRIPLE SEC 30PF & ALL 50ML,Case(s),3.0,10.0,Case(s),5.0,40.0,ALL SIZES
62528,2026-04,3166340,108701,80686340409,461075,2026-04-01,2026-04-30,DEKUYPER CORDIALS   EXCLUDES TRIPLE SEC 30PF & ALL 50ML,Case(s),3.0,10.0,Case(s),5.0,40.0,ALL SIZES
62529,2026-04,3166430,108701,80686184201,465451,2026-04-01,2026-04-30,DEKUYPER CORDIALS   EXCLUDES TRIPLE SEC 30PF & ALL 50ML,Case(s),3.0,10.0,Case(s),5.0,40.0,ALL SIZES
62530,2026-04,3166440,108701,80686184409,465451,2026-04-01,2026-04-30,DEKUYPER CORDIALS   EXCLUDES TRIPLE SEC 30PF & ALL 50ML,Case(s),3.0,10.0,Case(s),5.0,40.0,ALL SIZES
62531,2026-04,3167930,108701,80686320012,461076,2026-04-01,2026-04-30,DEKUYPER CORDIALS   EXCLUDES TRIPLE SEC 30PF & ALL 50ML,Case(s),3.0,10.0,Case(s),5.0,40.0,ALL SIZES
62532,2026-04,3168030,108701,80686321019,461077,2026-04-01,2026-04-30,DEKUYPER CORDIALS   EXCLUDES TRIPLE SEC 30PF & ALL 50ML,Case(s),3.0,10.0,Case(s),5.0,40.0,ALL SIZES
62533,2026-04,2326141,108702,80686422037,485902,2026-04-01,2026-04-30,DEKUYPER FLEUR ELDERFLOWER,Bottles,2.0,4.0,Case(s),1.0,48.0,750ML
62534,2026-04,4170140,108703,80686004752,637739,2026-04-01,2026-04-30,DELOLA SPRITZ,Case(s),3.0,18.0,Case(s),9.0,108.0,750ML & 375ML
62535,2026-04,4170160,108703,80686004769,637739,2026-04-01,2026-04-30,DELOLA SPRITZ,Case(s),3.0,18.0,Case(s),9.0,108.0,750ML & 375ML
62536,2026-04,4170240,108703,80686004738,637829,2026-04-01,2026-04-30,DELOLA SPRITZ,Case(s),3.0,18.0,Case(s),9.0,108.0,750ML & 375ML
62537,2026-04,4170260,108703,80686004745,637829,2026-04-01,2026-04-30,DELOLA SPRITZ,Case(s),3.0,18.0,Case(s),9.0,108.0,750ML & 375ML
62538,2026-04,4170360,108703,80686004783,637741,2026-04-01,2026-04-30,DELOLA SPRITZ,Case(s),3.0,18.0,Case(s),9.0,108.0,750ML & 375ML
62539,2026-04,4170440,108703,80686008736,694043,2026-04-01,2026-04-30,DELOLA SPRITZ,Case(s),3.0,18.0,Case(s),9.0,108.0,750ML & 375ML
